alpha,BP,BP 95% confidence,Utilization
0.01,0.1492,0.0181,0.5998
0.02,0.1174,0.0188,0.6238
0.03,0.0952,0.0185,0.6408
0.04,0.0817,0.0181,0.6509
0.05,0.0729,0.0177,0.6567
0.06,0.067,0.0172,0.6599
0.07,0.0631,0.0167,0.6613
0.08,0.0603,0.0164,0.6614
0.09,0.0584,0.0162,0.6609
0.1,0.0564,0.0158,0.6599
0.11,0.0552,0.0155,0.6584
0.12,0.054,0.0153,0.6565
0.13,0.0532,0.015,0.6548
0.14,0.0525,0.0148,0.6529
0.15,0.0519,0.0147,0.6504
0.16,0.0517,0.0145,0.6479
0.17,0.0511,0.0145,0.6457
0.18,0.0506,0.0142,0.6434
0.19,0.0505,0.014,0.6407
0.2,0.0505,0.014,0.6382
0.21,0.0498,0.0139,0.6359
0.22,0.0499,0.0138,0.6334
0.23,0.0496,0.0137,0.6309
0.24,0.0499,0.0137,0.6284
0.25,0.0496,0.0136,0.6255
0.26,0.0491,0.0135,0.6232
0.27,0.049,0.0133,0.6203
0.28,0.0491,0.0134,0.6179
0.29,0.0488,0.0132,0.6154
0.3,0.0489,0.0133,0.6126
0.31,0.0485,0.0133,0.6104
0.32,0.0479,0.0131,0.608
0.33,0.0475,0.013,0.6056
0.34,0.0473,0.0128,0.6032
0.35,0.047,0.0127,0.6007
0.36,0.0467,0.0127,0.5977
0.37,0.0463,0.0126,0.5956
0.38,0.0461,0.0124,0.5933
0.39,0.0458,0.0123,0.5909
0.4,0.0456,0.0123,0.5884
0.41,0.045,0.0121,0.5863
0.42,0.045,0.012,0.5838
0.43,0.0449,0.012,0.5814
0.44,0.0443,0.0119,0.579
0.45,0.044,0.0119,0.5759
0.46,0.0436,0.0119,0.5737
0.47,0.0433,0.0117,0.5713
0.48,0.0429,0.0116,0.5688
0.49,0.0427,0.0115,0.5665
0.5,0.0426,0.0115,0.5643
0.51,0.042,0.0114,0.5621
0.52,0.0417,0.0113,0.5597
0.53,0.0413,0.0113,0.5575
0.54,0.0409,0.0112,0.5542
0.55,0.0404,0.0111,0.5522
0.56,0.0403,0.011,0.55
0.57,0.0404,0.011,0.5475
0.58,0.0398,0.0109,0.5455
0.59,0.0393,0.0109,0.5432
0.6,0.039,0.0108,0.5411
0.61,0.0386,0.0108,0.539
0.62,0.0384,0.0106,0.5364
0.63,0.0376,0.0106,0.5342
0.64,0.0374,0.0104,0.5315
0.65,0.0369,0.0103,0.5294
0.66,0.0368,0.0103,0.5272
0.67,0.0364,0.0101,0.525
0.68,0.0361,0.0101,0.5232
0.69,0.0355,0.01,0.5214
0.7,0.0355,0.0099,0.5195
0.71,0.0349,0.0098,0.5174
0.72,0.0345,0.0098,0.5149
0.73,0.034,0.0097,0.5111
0.74,0.0338,0.0096,0.5093
0.75,0.0339,0.0096,0.5073
0.76,0.0333,0.0095,0.5057
0.77,0.033,0.0094,0.5037
0.78,0.0328,0.0094,0.5017
0.79,0.0326,0.0093,0.4998
0.8,0.0321,0.0093,0.498
0.81,0.0318,0.0093,0.496
0.82,0.0317,0.0092,0.4942
0.83,0.0308,0.0088,0.4903
0.84,0.0309,0.0088,0.4886
0.85,0.0307,0.0088,0.487
0.86,0.0305,0.0088,0.4854
0.87,0.0299,0.0087,0.4833
0.88,0.0296,0.0087,0.4801
0.89,0.0295,0.0087,0.4789
0.9,0.0294,0.0087,0.4778
0.91,0.0292,0.0086,0.4762
0.92,0.0289,0.0085,0.4743
0.93,0.0283,0.0084,0.4705
0.94,0.0283,0.0083,0.4687
0.95,0.0281,0.0083,0.4669
0.96,0.0276,0.0083,0.4656
0.97,0.0275,0.0083,0.4639
0.98,0.0274,0.0082,0.4618
0.99,0.027,0.0082,0.4592
1,0.0296,0.0093,0.4577
